,Mea_x,Mea_y,Mea_Lv
G:230,0.2427489,0.716353,276.7809,
G:231,0.242743,0.7163618,279.1707,
G:232,0.2427474,0.7163557,281.4991,
G:233,0.2427562,0.7163604,284.2246,
G:234,0.2427629,0.7163379,288.9282,
G:235,0.242777,0.7163471,292.2419,
G:236,0.2427782,0.7163247,294.7155,
G:237,0.2427836,0.7163216,297.8572,
G:238,0.2427874,0.7163283,300.8495,
G:239,0.2427924,0.7163072,303.4147,
G:240,0.2427904,0.7163082,305.942,
G:241,0.2428032,0.7163084,309.3071,
G:242,0.2428053,0.7163091,314.3361,
G:243,0.2428127,0.7162926,317.4638,
G:244,0.2428161,0.7162783,320.1749,
G:245,0.2428187,0.7162731,323.7523,
G:246,0.2428204,0.7162751,326.5738,
G:247,0.2428301,0.7162709,329.0253,
G:248,0.2428366,0.7162725,333.1457,
G:249,0.2428324,0.7162708,337.354,
G:250,0.2428384,0.7162587,341.0232,
G:251,0.2428393,0.7162521,343.5945,
G:252,0.2428582,0.7162378,347.4577,
G:253,0.2428556,0.7162444,349.9449,
G:254,0.2428588,0.7162197,353.6307,
G:255,0.2428679,0.716214,357.6705,
B:0,0.3272708,0.3440553,0.0012996,
B:1,0.2978327,0.2317399,0.0011441,
B:2,0.1813612,0.1235108,0.0018329,
B:3,0.1480972,0.077747,0.0031974,
B:4,0.1446872,0.0651603,0.005444,
B:5,0.1397137,0.05978227,0.00832,
B:6,0.1386076,0.05824927,0.0119739,
B:7,0.1382004,0.05661583,0.0161897,
B:8,0.1373142,0.055874,0.0207899,
B:9,0.1368096,0.05572447,0.0262891,
B:10,0.1366473,0.05520744,0.0327588,
B:11,0.135887,0.05476841,0.0403109,
B:12,0.1357768,0.0537948,0.0488856,
B:13,0.1360271,0.0540819,0.0596695,
B:14,0.1357029,0.05399972,0.0726814,
B:15,0.1358851,0.05351296,0.0856733,
B:16,0.1355336,0.05346417,0.0986913,
B:17,0.1356832,0.05332753,0.1111292,
B:18,0.135622,0.05314882,0.1238108,
B:19,0.1357167,0.05326322,0.1409734,
B:20,0.1356193,0.05319655,0.1585958,
B:21,0.1356728,0.05299129,0.1758852,
B:22,0.1356292,0.05291459,0.1972309,
B:23,0.135602,0.05283014,0.2216231,
B:24,0.135575,0.05271486,0.240087,
B:25,0.1355646,0.0527781,0.2611606,
B:26,0.1356256,0.05279847,0.284367,
B:27,0.1356739,0.05275191,0.3063328,
B:28,0.1356014,0.05261636,0.3349325,
B:29,0.135605,0.05262022,0.3591353,
B:30,0.1355901,0.05254373,0.3922021,
B:31,0.1356077,0.05258018,0.4188966,
B:32,0.1356752,0.05246535,0.4497254,
B:33,0.1355972,0.05249695,0.4704981,
B:34,0.1356118,0.05247599,0.4928838,
B:35,0.1356066,0.05242646,0.5226185,
B:36,0.135594,0.0524249,0.5490127,
B:37,0.1356041,0.05240136,0.5815777,
B:38,0.1355912,0.05238267,0.6119333,
B:39,0.1356744,0.05235061,0.638633,
B:40,0.1356296,0.05233942,0.6833866,
B:41,0.1355856,0.0523195,0.7137243,
B:42,0.1356548,0.05227224,0.7487347,
B:43,0.1356507,0.0522656,0.7908008,
B:44,0.1356176,0.05224121,0.8281166,
B:45,0.1356331,0.05220087,0.8730554,
B:46,0.1356178,0.05221684,0.913998,
B:47,0.1356356,0.05224486,0.9575558,
B:48,0.1356391,0.05218931,1.007374,
B:49,0.1355951,0.05216422,1.041132,
B:50,0.1355964,0.05215641,1.079322,
